Kurs;Lektionsname;Art;Minuten Timeout;Eicheln;Reihenfolge in Kurs;aktiviert zu Beginn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TestKurs;Lektion 1;Info;0;13;1;1;Dies ist eine <b>Einführung</b>;Text und Bilder sind gemeinsam möglich;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;Das ist ein Bild, an welchem wir keine Rechte haben.;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TestKurs;Lektion 2;Video;0;16;2;1;Hier haben wir versucht, ein Video einzubauen;_slide_;[VIDEO]<iframe width="800" height="600" src="https://www.youtube.com/embed/k_GM1JA608Y?rel=0" frameborder="0" gesture="media" allow="encrypted-media" allowfullscreen></iframe>;_slide_;[VIDEO]https://media.giphy.com/media/3o6vXGPiEH5yY7QORi/giphy.mp4;_slide_;hoffentlich hat das geklappt…;gutes Video oder?;:*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
root & superuser;Bedeutung & Vorteile;Info;0;3;1;0;Kurz gesagt, hat man als root-user den vollen Zugriff auf sein Telefon und die Möglichkeit, viele weitere Dinge zu verändern/kontrollieren.;_slide_;Der Name "root" kommt daher, dass man dann im Gegensatz zum Standardfall Zugriff auf das "root-Verzeichnis", also den kompletten Speicher des Telefons hat.;_slide_;Für das rooten gibt es eine recht große Gemeinschaft mit Anleitungen, Tricks und vielen nützlichen Apps, die den root-Zugriff nutzen, um sonst Unmögliches auf dem Smartphone zu aktivieren.;Empfehlenswert ist dabei auf jeden Fall das Forum xda-Developers.;_slide_;Ist das Android-Smartphone erst gerootet, ergeben sich schier unendliche neue Möglichkeiten.;Was man davon nutzt, ist dem Nutzer komplett selbst überlassen. Man kann sein Handy zum Beispiel rooten und danach keine Veränderung vornehmen, oder sich nur eine App installieren, die root-Zugriff benötigt. Auf der anderen Seite ist es möglich, ein komplett neues Betriebssystem zu installieren, das Gerät in einen Server zu verwandeln oder das Aussehen komplett zu verändern.;_slide_;Wie der root-Vorgang bei dem jeweiligen Gerät aussieht, ist sehr unterschiedlich und kann im Internet recherchiert werden.;Übrigens: Das Äquivalent für iPhones nennt sich "jailbreak".;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
root & superuser;Privatsphäre & root;Info;0;3;2;0;Neben vielen weiteren Vorteilen kann man auch seine Privatsphäre durch root-Zugriff deutlich besser schützen, z.B durch:;deinstallieren aller Apps, auch (häufig neugierige) vorinstallierte und (unnötige!) System-Apps können nun entfernt werden.;Dabei muss man natürlich genau aufpassen, denn ohne Tastatur etc. wird das benutzen schwierig.;Andererseits erhält man auf diese Weise auch auf manchen Smartphones wertvollen Speicherplatz zurück, gleichzeitig kann man nun auch auf der externen SD-Karte installieren, wenn das zuvor nicht möglich war.;_slide_;Ein weiterer sehr spannender Aspekt ist ein Tool zur Rechteverwaltung und -aufzeichnung.;Mit solchen Apps wie z.B. ‘XPrivacy’ oder ‘LBE’ Security Manager können Apps unabhängig vom Android eigenen Verwaltungssystem Rechte gewährt oder entzogen werden.;_slide_;Dies bringt viele Vorteile, da zum Beispiel mit XPrivacy der App falsche Daten statt der echten ‘Advertising ID’ oder ‘Android Serial’ vorgetäuscht werden.;Dies verringert die Gefahr der Profilerstellung, da jedes Mal ein neuer Wert erzeugt werden kann.;Auch Zugriff auf Standort oder Kontakte kann so einzeln per App/Zeitpunkt entschieden werden, wobei die App meist auch dann noch läuft, wenn sie einen Android-internen Berechtigungszwang eingebaut hat.;_slide_;Mit Hilfe einer Firewall wie ‘LightningWall’  kann man außerdem der Notiz-, Taschenlampen- oder Kameraapp den Internetzugriff abdrehen, indem einfach keine Verbindungen von diesen durchgelassen werden. Auch das ist natürlich ein wertvoller Helfer zum Schutz der Privatsphäre.;_slide_;Die Möglichkeiten als root-User sind wie gesagt unzählig und Experten mögen oft nicht mehr darauf verzichten.;Hat man erstmal alles eingerichtet, fällt meist auch kaum Aufwand an, wenn man nichts mehr verändern will. Lediglich neue Apps müssten dann angepasst werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
root & superuser;Nachteile;Info;0;3;3;0;Ganz klar: rooten hat auch Nachteile. Zum ersten erlischt bei den meisten Herstellern durch Aktivieren der vollen Rechte die Garantie, sodass man es sich überlegen sollte, in der Garantiezeit bereits den root vorzunehmen, wenn man sich unsicher ist.;_slide_;Zweitens kann man, wenn man grob unvorsichtig ist, auch sein Handy unbrauchbar machen.;Zum Beispiel gibt es die Möglichkeit, den Prozessor zu übertakten, um mehr Geschwindigkeit zu erreichen (was man eben nicht übertreiben sollte).;Oder man deinstalliert notwendige Systemprozesse bzw. entzieht diesen essentielle Rechte.;_slide_;Abgesehen davon kann es vorkommen, dass Apps abstürzen, wenn man ihnen gewisse Zugriffe versagt. Dies muss man dann anders einstellen.;_slide_;Sofern man von diesen kritischen Punkten aber die Finger lässt, sich vorher ausreichend beliest oder sein Handy nach erfolgreichem Einrichten nicht weiter modifiziert, besteht hier wenig Gefahr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Gesellschaft;Geschichte der Privatspäre I;Info;0;3;1;1;Privatheit und Öffentlichkeit sind kulturell bedingte Gegebenheiten, die sich über den Verlauf der Geschichte Wandlungen unterziehen. So war in der Antike der Gedanke von Privatsphäre bereits in Thesen von Aristoteles anzutreffen. Dieser Teile das Leben in eine öffentliche Sphäre und eine häusliche Sphäre. Sklaven blieb diese Trennung jedoch vorbehalten.;_slide_;Im Mittelalter war das Ausleben des Privaten wieder sehr eingeschränkt. Häuser waren zumeist klein und so verbrachte man einen Großteil seiner Zeit mit anderen zusammen. Das persönliche Umfeld bestimmte den Beruf und enge Kontakte. Eigensinn wurde nicht geduldet.;_slide_;Die Vorstellung einer Privatsphäre begann sich vor 300 Jahren neu zu bilden. Durch die Entstehung freier Märkte und die zunehmende Verstädterung prallten Menschen auf engsten Raum aufeinander, die sich fremd waren und sich misstrauten. Das Verlangen nach einem Rückzug in die eigenen vier Wände kam auf.;_slide_;Die bürgerlichen Wohnungen des 18. Jahrhunderts wiesen eine strickte Trennung auf. Zum einen gab es die öffentlichen Empfangsräume, die als präsentabel angesehen wurden. Die Räume, in denen das familiäre Leben stattfand, bildeten einen Privatbereich und blieben Besuchern verwehrt.;_slide_;Denoch blieb Privatspäre lange Luxus. Bis ins 19. Jahrhundert waren abgetrennte Privaträume dem Bürgertum vorbehalten. Die Arbeiter lebten im städtischen Leben in Mietskasernen auf engstem Raum. Wärend der Marxismus das Teilnehmen am öffentlichen Leben forderte, arbeitete ein auflebender Humanismus die Bedeutung des Individuums heraus.;_slide_;Juristisch wurde Privatsphäre erstmals 1361 in England durch ein Verbot geschützt, das das Abhören und Beobachten einschränkte. Im 18. Jahrhundert wurde das Briefgeheimniss in vielen Ländern Europas durchgesetzt und seit 1949 ist das Fernmeldegeheimnis Teil des deutschen Grundgesetztes und gehört zu den Grundrechten. Auch wenn es zu Zwecken der Strafverfolgung eingeschränkt werden kann.;_slide_;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Gesellschaft;Geschichte der Privatspäre II;Info;0;3;2;0;In der Moderne sind der Auslebung der eigenen Privatheit im häuslichen Umfeld dank zunehmendem Wohlstand wenige Grenzen gesetzt. Jedoch sieht sich der Mensch immer neuen technologischen Errungenschaften gegenüber, die zum aushebeln der Privatsphäre des Einzelnen genutzt werden können.;_slide_;Wo Ende des 19. Jahrhunderts noch neue Kodak-Kameras Angst machten, da sie heimliche Photographien des Alltags ermöglichten, so wurden die wahren Ausmaße dieser Entwicklung erst durch die verschieden Supermächte des 20. Jahrhunderts deutlich. Ein erstes prominentes Beispiel liefert der National-Sozialismus.;_slide_;So wurden gesammelte Informationen gezielt ausgewertet, um die Judenverfolgung effizienter durchführen zu können. Aber auch das Ausspionieren der breiten Bevölkerung gewann an Bedeutung. Ein extra eingerichteter Sicherheitsdienst suchte nach oppositionellen Strömungen.;_slide_;Das Sichern der Macht durch Überwachung der eigenen Bevölkerung ist ein Trend der sich fortsetzt. So hatte der 1954 gegründete KGB der Sowjetunion, oder die 1950 gegründete Stasi offiziell den Zweck, den Staat vor Bedrohungen zu schützen, sie dienten aber primär dem Ziel, totalitäre Machtansprüche gegen die Bevölkerung durchzusetzen.;_slide_;Zum Ende des kalten Krieges und mit Abnahme der konkreten Gefahr feindlicher Spionage wurde Überwachung weiter eingesetzt, um Verbrechen einzelner Gruppierungen zu verhindern. Man will Risiken vorbeugend begegnen. Eine Einstellung, die sich mit den Anschlägen am 11. September 2001 verfestigte.;_slide_;Ermöglicht durch moderne Computersysteme wurde nun Rasterfahndung erstmals präventiv eingesetzt. Vorratsdatenspeicherung wurde 2006 zu einer EU-Richtlinie. Die Überwachung des öffentlichen Raums durch Kameras wurde stark gesteigert.;Das alles um vorbereitet zu sein.;_slide_;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Gesellschaft;Gemachte Meinung;Info;0;3;3;0;Mit dem Wechsel in das 21. Jahundert und dem Erstarken des Internets veränderte sich auch der Nachrichtenkonsum der Bevölkerung. Waren vorher Fehrnsehen, Radio und Zeitung die einzigen Leitmedien, wird nun auch vermehrt digital recherchiert. Das Internet nimmt Einfluß auf die öffentliche Meinung.;_slide_;Der Unterschied liegt, seit dem Wandel zum Web 2.0, in der Beteiligung der Nutzer an den gezeigten Inhalten. Nachrichten können geteilt, aboniert und kommentiert werden. Einen Teil der Informationen suchen wir nicht mehr direkt, sondern bekommen sie in Timelines und Newsfeeds an uns herangetragen.;_slide_;Da wir diese Nachrichtenauswahl selbst anpassen, erhalten wir vermehrt Informationen, die wir für wichtig und interessant halten. Und vermeiden Nachrichten, die uns belasten würden, wie z.B. politische Meinungen, die unserer widersprechen. Unterstützt wird dies beispielsweise bei Facebook oder Google durch Algoritmen, die zusätzlich bemüht sind, Dinge zu präsentieren, die uns gefallen.;_slide_;Die Sorge besteht, dass man durch eine solche selektive Auswahl nur noch mit Dingen in Berührung kommt, die der eigenen Meinung entsprechen und so radikale Ansichten weiter verstärkt werden. Dieser Effekt wird Filterbubble (zu Deutsch Filterblase) genannt. Die Stärke des Effekts wird noch angeregt diskutiert.;_slide_;Nach einem ähnlichen Prinzip funktioniert Zielgerichtete Werbung. Für einen Nutzer sollen die Botschaften ausgewählt werden, für die er empfänglich ist, sodass er sich eher mit diesen beschäftigt und sie einen größeren Effekt haben. Getroffen wird diese Wahl anhand von Nutzerprofilen und darauf angewandten automatisierten psychologischen Analysen.;_slide_;Angewandt wurde dieses Verfahren im US-Wahlkampf verstärkt auf Seiten der Republikaner. So wird das Recht, Waffen zu tragen bei Introvertierten nicht als Spaß, sondern als Schutz für die Familie beworben. Oder aber Afroamerikanern wurden gezielt Videos gezeigt, in denen Hillary Clinton diese als Raubtiere bezeichnet.;_slide_;Dafür engagiert wurde das Unternehmen Cambridge Analytica. Dieses war vorher bereits mit der Wahlwerbung der britischen Bewegung leave.eu betraut worden und schreibt sich auf die Fahne, mit ihrer gezielten Werbung Trumps Wahlsieg und den Brexit ermöglicht zu haben.;_slide_;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Gesellschaft;Das Panopticon;Info;0;3;4;0;Das Panopticon beschreibt die Idee eines Gebäudes, das ringförmig oder als Stern aufgebaut ist, sodass die gesamte Grundfläche von einem Mittelpunkt her einsehbar ist. Dieses Konzept wurde für Gefängnisse oder Fabriken entwickelt, um mit wenig Personal viele Personen zu überwachen. <img src="https://upload.wikimedia.org/wikipedia/commons/a/ac/Presidio-modelo2.JPG"  alt="Panopticon" style="float:below">;_slide_;Obwohl es wenige Beispiele dafür gibt, dass ein Panopticon wirklich gebaut wurde, ist es ein prominentes Sinnbild für Überwachung. Ein Gefängnis mit vielen Gefangenen. Jede Zelle ist von einem Turm aus einsehbar. Der Turm selbst aber ist verdunkelt. Somit ist nie klar, welche Zellen grade betrachtet werden.;_slide_;Ein Häftling der sich nun nicht sicher sein kann, ob er nicht grade beobachtet wird, wird vorsichtshalber nichts verbotenes tun. Dies ist der sogenannte Überwachungsdruck. Die Parallele zur Gesellschaft im Allgemeinen lässt sich leicht ziehen: man weiß nicht, ob grade die eigene Browserhistorie nachvollzogen wird. Wahrscheinlich nicht, aber vielleicht...;_slide_;Nun muss es gar nicht um echte Verbrechen gehen. Auch schon das Interesse eine Demo zu besuchen, kann als unerwünscht wahrgenommen werden, sodass man vielleicht doch nicht den Newsletter der Atomkraftgegner abonniert. Im Volksmund spricht man von der Schere im Kopf.;_slide_;Der französische Philosoph Michel Foucault fasst diese Annahme in seiner Theorie des Panoptismus zusammen. In Zeiten, in denen es noch kein Internet gab, bezog er sich auf die Institutionen des Staates. In dem Wissen, dass deine Handlungen in Schulen, Krankenhäusern oder dem Militär beurteilt werden, reguliert man sich.;_slide_;Somit übt nicht mehr der Staat Gewalt über dich aus, sondern du selbst. Hierbei folgst du vorgelebten Normen, die du erst verinnerlicht und später zu deinen eigenen machst.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Gesellschaft;Post-Privacy;Info;0;3;5;0;Post-Privacy beschreibt als Begriff einen Zustand ohne Privatsphäre. Hierbei liegt erstmal keine Wertung vor, ob dies einen Verlust oder einen Gewinn darstellen würde. Er wird zumeist hypothetisch benutzt, wenn man über eine Zukunft nachdenkt, in der alle Bemühungen zur Vernetzung des Einzelnen konsequent weiter geführt wurden.;_slide_;Redet man aber über Post-Privacy als solches, meint man häufiger die Post-Privacy-Bewegung (oder Spackeria wie sie sich selbst in Deutschland auch mal nennen). Diese stellt einen direkten Gegenentwurf zur Datenschützer-Bewegung dar. Deren Grundannahme, dass private Informationen zu schützen seien, wird als überholt angesehen. Ein freier Umgang wird beworben.;_slide_;Hierbei wird der fortschreitende Kontrollverlust nicht zwingend als positiv Wahrgenommen.;Die Post-Privacy-Bewegung geht vielmehr davon aus, dass mit zukünftigen Entwicklungen Daten zunehmend verfügbarer werden. Wenn sich nun das private Leben immer mehr im Internet abspielt, hat man bald keine Wahl mehr, welche Daten von einem verfügbar sind.;_slide_;Bei der Bedrohlichkeit, die in diesem Szenario liegt und die Hitze der Debatte erklärt, ist die erste Aussage der Spackeria doch eine beruhigende: Lasst euch drauf ein. Findet Autonomie in der Selbstaufgabe. Als positives Bespiel wird häufig der Amerikaner Jeff Jarvis gesehen, der sich entschloss seine Krebserkrankung öffentlich zu diskutieren und daraus viel Unterstützung zog.;_slide_;So schön dieser Ansatz ist, stellt er leider keine alleinige Lösung da. So soll das aktive Publikmachen zwar die gegenseitige Anerkennung stärken, aber schließlich möchte man es ja dann doch nicht immer. Und auch die gegenseitige Anerkennung ist eher ein Wunsch, wobei Menschen für ihre Lebensrealität auch bestraft werden könnten.;_slide_;Der Optimismus der Spackeria bezieht sich auch eher auf positive Aspekte der Informationsgesellschaft.;So wird einer Datenfreiheit entgegengefiebert, in der man frei Forschungsergebnisse, Gehälter oder staatliche Dokumente einsehen kann und dies für den weiteren Fortschritt nutzt.;_slide_;Vor allem die Informationsasymmetrie zwischen überwachendem Staat und einfachem Bürger soll endlich fallen. So ist eine Nacktsauna ja ganz nett, aber wenn jemand von außen starrt, wird es seltsam... ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Gesellschaft;Astroturfing;Info;0;3;6;0;Als Astroturfing bezeichnet man den Versuch, eine Graswurzelbewegung vorzutäuschen. Eine politische Initiative, die aus der Bevölkerung heraus entsteht. Anders als bei dieser wird beim Astroturfing die Bewegung zentral koordiniert. Der Namensursprung von Astroturfing ist angelehnt an Astroturf, einer bekannten Marke für Kunstrasen.;_slide_;Eingesetzt wird Astroturfing meist von Firmen oder Staaten, in der Hoffnung vortäuschen zu können, dass ihr Interesse von der breiten Bevölkerung vertreten wird. Das kann genutzt werden, um etwas positiv oder negativ darzustellen, eine Berichterstattung der Medien herbeizuführen, oder den politischen Betrieb zu beeinflussen.;_slide_;Im Falle der Werbung machen sich Unternehmen zu Nutze, dass Werbung längst nicht mehr eine einseitige Berieselung sein muss. Produkte haben Facebook und Amazon Seiten, auf welchen diese kommentiert und bewertet werden können. So können Leute, die das Produkt mögen, dies möglichen Kunden mitteilen.;_slide_;Da das viel glaubwürdiger wirkt, als Werbebotschaften die direkt vom Unternehmen kommen, wird dies versucht, durch bezahlte Kommentarschreiber nachzustellen. Im Fall von Produktrezensionen gilt dies, wenn es nicht gekennzeichnet ist, als Schleichwerbung und ist verboten.;_slide_;Um mit Hilfe von Astroturfing auf die Politik Einfluss zu nehmen, wird häufig die Aktivität einer von Bürgern gegründeten Initiative vorgetäuscht. So wird z.B. die "Gesellschaft zur Förderung umweltgerechter Straßen- und Verkehrsplanung", die nach außen neutral auftritt, von "Deutsche-Asphalt" finanziert und betreibt für diese indirekt Lobbyarbeit in Sachen Straßenbau.;_slide_;Im sehr viel größeren Maßstab wird Astroturfing von Russland und China eingesetzt. Diese betreiben eigens Einsatzgruppen, die auf dieses Gebiet spezialisiert sind. So ist die chinesische "50 Cent Party" dafür zuständig, ein positives Bild von China in sozialen Netzwerken zu verbreiten und die russische Troll-Armee dafür da, die russische Außenpolitik in fremdsprachigen Foren zu rechtfertigen.;_slide_;In diesem Zusammenhang treten die Akteure nicht als sie selbst auf, sondern kreieren sogenannte Fakeaccounts oder Sockenpuppen, um gleich im Namen vieler Identitäten zu sprechen. Weiter unterstützt durch spezielle Programme ist es für eine Person leicht möglich, wie 10 oder Hundert Meinungsträger zu wirken.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Gesellschaft;Gesellschafts-Quiz;Quiz;7200000;4;7;0;[QUIZ]Was ist das Panopticon?;0Satellitensystem zur Überwachung;1Eine Bauweise;1Ein Symbol für Überwachung;0Nichts davon;_slide_;[QUIZ]Welches sind Grundsätze der Post-Privacy-Bewegung?;0Das Postgeheimnis weiter schützen;0Überwachung ist notwendig;1Datenfreiheit;1Aufheben der Informationsasymetrie;_slide_;[QUIZ]Was sind Effekte einer Filter-Bubble?;1Man sieht weniger Uninteressantes;0Personen finden dich nicht mehr im Internet;0Werbung wird nicht mehr angezeigt;1Die eigene Meinung wird bekräftigt;_slide_;[QUIZ]Was sind mögliche Ziele von Astroturfing?;1Einfluss auf die Politik nehmen;1Glaubwürdigere Werbung;1Mediale Berichterstattung hervorrufen;1Verbreiten eines Weltbildes;_slide_;[CERT]9;Schick! Du scheinst diesen Kurs aufmerksam gelesen zu haben.;Das war leider Nix... Ließ dir die Lektionen noch einmal durch, dann klappt es sicher beim nächsten mal. :);;;;;;;;;;;;;;;;;;;
Messaging-Apps;Über Messaging-Apps allgemein;Info;0;3;1;0;Eine Messaging-App ist eine App, die den Nachrichtensofortversand ermöglicht.;Sie dient als Kommunikationsmethode zwischen zwei oder mehr Teilnehmern per Textnachrichten.;_slide_;Von Tag zu Tag gibt es mehr Messaging-Apps, die versprechen sicherer zu sein als jede andere. Dabei den Überblick zu behalten ist nicht einfach.;Doch warum sollte man überhaupt in Erwägung ziehen, seinen Messenger zu wechseln, wenn doch alle Freunde und Bekannte den gleichen benutzen?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Messaging-Apps;WhatsApp;Info;0;3;2;0;Die verbreitetste Messaging-App ist WhatsApp.;Es gibt viele Bedenken bezüglich Datenschutz, wenn es um WhatsApp geht und auch Verbraucherschützer warnen vor der App.;_slide_;Gerade erst am 13.01.2017 kam heraus, dass WhatsApp eine Hintertür hat und damit nicht nur Facebook, sondern auch Sicherheitsbehörden Zugriff auf verschlüsselte Kommunikation erhalten können.;_slide_;Aus diesem Anlass hat die Seite netzpolitik.org einen Artikel verfasst:; ;Sechs gute Gründe, den Messenger zu wechseln;Diese Gründe möchten wir euch nicht vorenthalten, lest selbst:;_slide_;1. Falsches Werbeversprechen: Die Verschlüsselung hat eine Hintertür;Die Kommunikation über WhatsApp ist nicht sicher. Das Unternehmen selbst und Ermittlungsbehörden können einen Trick anwenden, um die Nachrichten der Nutzer mitzulesen. Die Hintertür besteht mindestens seit April 2016. Und ist offensichtlich ein Feature.;_slide_;2. WhatsApp ist nicht kostenlos:;Nein, auch wenn man die App kostenlos herunterladen kann – umsonst ist sie nicht zu haben. Dass man mit den eigenen Daten bezahlt, klingt inzwischen zwar abgedroschen – trifft den Nagel aber auf den Kopf. Was Facebook finanziell so erfolgreich macht, sind die umfassenden Informationen, die das Unternehmen über seine NutzerInnen und auch Menschen ohne Account sammelt – und die Fähigkeit, unsere Aufmerksamkeit, unsere Emotionen und unsere Informationen zu vermarkten.;_slide_;3. Endlich mit ruhigem Gewissen chatten:;Anders als WhatsApp sind viele Alternativen Open-Source-basiert. Das heißt, dass der Quellcode der Programme einsehbar ist und von unabhängigen ExpertInnen geprüft werden kann. Man muss sich also nicht auf Versprechen verlassen, dass wirklich hohe Sicherheitsstandards zum Einsatz kommen, sondern kann sich wirklich sicher sein.;_slide_;4. Es ist so einfach:;Viele Alternativen zu WhatsApp sind inzwischen genau so einfach zu bedienen und verfügen über gleiche oder ähnliche Features wie der Marktführer. Weder für die Installationen noch für die Anwendung benötigt man heute noch technisches Fachwissen.;_slide_;5. Gegen den intransparenten Monopolisten:;WhatsApp gehört Facebook. Das Unternehmen beherrscht mit seiner Netzwerkplattform, seinen beiden Messengern und seinem Fotodienst Instagram weite Teile des Social-Media-Marktes. Während der Konzern mit den Informationen über NutzerInnen Millardengewinne macht, ist er gleichzeitig für seine eigene Intransparenz bekannt. WhatsApp musste sogar erst gerichtlich dazu verdonnert werden, die AGBS und Datenschutzbestimmungen auf deutsch bereitzustellen. Und auch wenn es bequem ist, (fast) alle Menschen über eine App erreichen zu können: Wo ist eigentlich das Problem, wenn sich die Kontakte nun auf zwei Dienste verteilen? Eine App mehr oder weniger macht für die meisten Smartphone-BesitzerInnen nun wirklich keinen Unterschied, gerade wenn man sich darauf verlassen kann, dass sie sicher und datensparsam sind.;_slide_;6. Vorangehen lohnt sich:;Auch wenn es für manche unvorstellbar scheint: Ein Leben ohne WhatsApp ist möglich. Wirklich wichtige Menschen werden folgen oder es werden sich andere Kommunikationsmöglichkeiten mit ihnen auftun. Und vielleicht wirkt sich Reduktion der täglichen Kommunikationspartner ja sogar positiv auf das eigene Wohlbefinden aus. Noch wichtiger aber ist: Wenn alle darauf warten, dass sich von allein etwas ändert, wird nichts passieren. Nur wenn es starke Zugpferde gibt, die vorangehen und WhatsApp verlassen, kann Bewegung in die Sache kommen. Vielleicht hilft es, mit der Überzeugungsarbeit erstmal im persönlichen Nahbereich anzufangen und guten FreundInnen deutlich zu kommunizieren, dass es einem wichtig ist, den Draht zu ihnen zu behalten. Bei der Gründung gemeinsamer Gruppenchats darauf zu bestehen, einen datensparsamen Messenger zu nutzen, kann hingegen nützlich sein, auch entferntere Bekannte auf Alternativen zu stoßen.;;;;;;;;;;;;;;;;;;;
Messaging-Apps;Empfehlung: offenes Protokoll;Info;0;3;3;0;Bei der Sicherheit von Instant-Messengern (IM) ist es inzwischen schwierig geworden, einfache Empfehlungen auszusprechen. Zu Beginn ist es wichtig, ein Konzept zu verstehen:;Die meisten Dienste (wie Facebook, slack, Signal, twitter, etc.) setzen heutzutage auf ein "Walled Gardens"-Prinzip, das heißt Mitglieder des jeweiligen Dienstes können miteinander interagieren, jedoch nicht mit anderen Diensten.;_slide_;Dieser Ansatz ist aus verschiedenen Gründen schlecht: über die Entwicklung des Portals/Messengers/... haben allein die Konzerne die Kontrolle, welche den Dienst zur Verfügung stellen. Das heißt ob Werbung geschaltet wird, welche Daten wohin verkauft werden, welche Protokolle genutzt werden usw. liegt in der Hand weniger Personen, deren Ziel im Allgemeinen vor allem Profit ist. Das mag auf den ersten Blick normal erscheinen, ist das Unternehmen doch auch der Dienstleister und hat den Aufwand.;_slide_;Gucken wir uns aber mal ein populäres Gegenbeispiel an: die E-Mail.;Dadurch, dass die E-Mail ein offenes Protokoll hat, haben wir eine große Auswahl an Möglichkeiten, über wessen Server wir kommunizieren möchten. Sollte sich ein Unternehmen als nicht vertrauenswürdig erweisen oder pleite gehen, können wir einfach einen anderen Dienst in Anspruch nehmen oder unseren eigenen Server nutzen.;Dadurch entsteht auch ein gewisser Wettbewerb, was für die Nutzer von riesen Vorteil ist.;_slide_;Zusätzlich sorgt ein offenes Protokoll, was von allen verwendet wird, für Weiterentwicklung. Ein Dienst wie Telegram z.B. kann sein durchaus anzuzweifelndes Sicherheitsprotokoll weiterhin verwenden, solange die Betreiber nicht etwas anderes wollen. Wird das Protokoll jedoch von vielen Parteien auf der Welt genutzt, besteht eine gewisse Motivation, es zu verbessern.;Wir halten also fest: Walled Garden Software bindet an ein bestimmtes Unternehmen und dessen Entscheidungen, erschwert die Kommunikation unter den "Gardens" und vermindert die kontinuierliche öffentliche Entwicklung.;_slide_;Im Bereich des Instant-Messaging gibt es bisher nur ein relevantes offenes Protokoll: XMPP. Wie versprochen bringt XMPP die Vorteile eines offenen Protokolls mit sich: Es wurde seit seiner Enstehung (1999) kontinuierlich verbessert, für die Nutzung gibt es viele Mögliche Client-Programme und jeder kann einen XMPP Server erstellen, welcher mit allen anderen kommunizieren kann.;XMPP ist auch deshalb besonders spannend für IM, weil es egal ist, welchen Client die Freunde benutzen: Solange das gleiche Protokoll genutzt wird, können alle mit allen kommunizieren. Auf allen Betriebssystemen.;Vor diesem Hintergrund ist vielleicht auch erkenntlich, warum Walled Garden Software entwicklungstechnisch gesehen ein großer Rückschritt sind.;_slide_;Ein Grund, warum sich XMPP bisher nicht flächendeckend durchgesetzt hat, ist die früher mangelnde Funktionalität: Bis vor kurzem waren sichere Nachrichten, bei denen nicht beide Gesprächspartner gleichzeitig online sein mussten, schwierig.;Doch inzwischen gibt es eine Portierung des (von vielen gepriesenen) Sicherheitsprotokolls von Signal auf XMPP. Das Programm "Conversations" erlaubt die Kommunikation mit diesem, wobei es mit ChatSecure kooperiert. Diese Programme wurden von Anfang an quelloffen entwickelt und haben ihren Fokus auf Sichere Kommunikation, Dezentralisierung und Kompatibilität gesetzt.;_slide_;Wenn wir also eine Empfehlung aussprechen sollen, die zukunftsorientiert, unabhängig und sicher sein soll, dann ist es Conversations oder ein anderes Programm, was das (neue für IM geeignete) OMEMO-Protokoll unterstützt. Die App kann kostenlos/auf Spendenbasis über F-Droid (siehe Google-Dienste Lektion) bezogen werden oder im PlayStore für 2,39€ gekauft werden. Zum Nutzen braucht man noch einen XMPP Account, den man entweder extern registrieren, oder direkt beim ersten Starten der App anlegen kann (dann nur 6 Monate kostenlos). Mögliche Server zur Anmeldung findet ihr zum Beispiel auf xmpp.net/directory.php oder jabberes.org/servers. Ein Beispiel wäre jabber.de;Solange man diesen Account hat, kann man jeden XMPP/Jabber Client nutzen, man ist auch hier nicht an Conversations gebunden. Das neue OMEMO Protokoll haben bisher jedoch kaum weitere Programme eingebaut.;;;;;;;;;;;;;;;;;;;;;;;;;
